lexicon,specific,word
sentiment,negative,awfulness
sentiment,negative,awkward
sentiment,negative,awkwardness
sentiment,negative,ax
sentiment,negative,babble
sentiment,negative,back-logged
sentiment,negative,back-wood
sentiment,negative,back-woods
sentiment,negative,backache
sentiment,negative,backaches
sentiment,negative,backaching
sentiment,negative,backbite
sentiment,negative,backbiting
sentiment,negative,backward
sentiment,negative,backwardness
sentiment,negative,backwood
sentiment,negative,backwoods
sentiment,negative,bad
sentiment,negative,badly
sentiment,negative,baffle
sentiment,negative,baffled
sentiment,negative,bafflement
sentiment,negative,baffling
sentiment,negative,bait
sentiment,negative,balk
sentiment,negative,banal
sentiment,negative,banalize
sentiment,negative,bane
sentiment,negative,banish
sentiment,negative,banishment
sentiment,negative,bankrupt
sentiment,negative,barbarian
sentiment,negative,barbaric
sentiment,negative,barbarically
sentiment,negative,barbarity
sentiment,negative,barbarous
sentiment,negative,barbarously
sentiment,negative,barren
sentiment,negative,baseless
sentiment,negative,bash
sentiment,negative,bashed
sentiment,negative,bashful
sentiment,negative,bashing
sentiment,negative,bastard
sentiment,negative,bastards
sentiment,negative,battered
sentiment,negative,battering
sentiment,negative,batty
sentiment,negative,bearish
sentiment,negative,beastly
sentiment,negative,bedlam
sentiment,negative,bedlamite
sentiment,negative,befoul
sentiment,negative,beg
sentiment,negative,beggar
sentiment,negative,beggarly
sentiment,negative,begging
sentiment,negative,beguile
sentiment,negative,belabor
sentiment,negative,belated
sentiment,negative,beleaguer
sentiment,negative,belie
sentiment,negative,belittle
sentiment,negative,belittled
sentiment,negative,belittling
sentiment,negative,bellicose
sentiment,negative,belligerence
sentiment,negative,belligerent
sentiment,negative,belligerently
sentiment,negative,bemoan
sentiment,negative,bemoaning
sentiment,negative,bemused
sentiment,negative,bent
sentiment,negative,berate
sentiment,negative,bereave
sentiment,negative,bereavement
sentiment,negative,bereft
sentiment,negative,berserk
sentiment,negative,beseech
sentiment,negative,beset
sentiment,negative,besiege
sentiment,negative,besmirch
sentiment,negative,bestial
sentiment,negative,betray
sentiment,negative,betrayal
sentiment,negative,betrayals
sentiment,negative,betrayer
sentiment,negative,betraying
sentiment,negative,betrays
sentiment,negative,bewail
sentiment,negative,beware
sentiment,negative,bewilder
sentiment,negative,bewildered
sentiment,negative,bewildering
sentiment,negative,bewilderingly
sentiment,negative,bewilderment
sentiment,negative,bewitch
sentiment,negative,bias
sentiment,negative,biased
sentiment,negative,biases
sentiment,negative,bicker
sentiment,negative,bickering
sentiment,negative,bid-rigging
sentiment,negative,bigotries
sentiment,negative,bigotry
sentiment,negative,bitch
sentiment,negative,bitchy
sentiment,negative,biting
sentiment,negative,bitingly
sentiment,negative,bitter
sentiment,negative,bitterly
sentiment,negative,bitterness
sentiment,negative,bizarre
sentiment,negative,blab
sentiment,negative,blabber
sentiment,negative,blackmail
sentiment,negative,blah
sentiment,negative,blame
sentiment,negative,blameworthy
sentiment,negative,bland
sentiment,negative,blandish
sentiment,negative,blaspheme
sentiment,negative,blasphemous
sentiment,negative,blasphemy
sentiment,negative,blasted
sentiment,negative,blatant
sentiment,negative,blatantly
sentiment,negative,blather
sentiment,negative,bleak
sentiment,negative,bleakly
sentiment,negative,bleakness
sentiment,negative,bleed
sentiment,negative,bleeding
sentiment,negative,bleeds
sentiment,negative,blemish
sentiment,negative,blind
sentiment,negative,blinding
sentiment,negative,blindingly
sentiment,negative,blindside
sentiment,negative,blister
sentiment,negative,blistering
sentiment,negative,bloated
sentiment,negative,blockage
sentiment,negative,blockhead
sentiment,negative,bloodshed
sentiment,negative,bloodthirsty
sentiment,negative,bloody
sentiment,negative,blotchy
sentiment,negative,blow
sentiment,negative,blunder
sentiment,negative,blundering
sentiment,negative,blunders
sentiment,negative,blunt
sentiment,negative,blur
sentiment,negative,bluring
sentiment,negative,blurred
sentiment,negative,blurring
sentiment,negative,blurry
sentiment,negative,blurs
sentiment,negative,blurt
sentiment,negative,boastful
sentiment,negative,boggle
sentiment,negative,bogus
sentiment,negative,boil
sentiment,negative,boiling
sentiment,negative,boisterous
sentiment,negative,bomb
sentiment,negative,bombard
sentiment,negative,bombardment
sentiment,negative,bombastic
sentiment,negative,bondage
sentiment,negative,bonkers
sentiment,negative,bore
sentiment,negative,bored
sentiment,negative,boredom
sentiment,negative,bores
sentiment,negative,boring
sentiment,negative,botch
sentiment,negative,bother
sentiment,negative,bothered
sentiment,negative,bothering
sentiment,negative,bothers
sentiment,negative,bothersome
sentiment,negative,bowdlerize
sentiment,negative,boycott
sentiment,negative,braggart
sentiment,negative,bragger
sentiment,negative,brainless
sentiment,negative,brainwash
sentiment,negative,brash
sentiment,negative,brashly
sentiment,negative,brashness
sentiment,negative,brat
sentiment,negative,bravado
sentiment,negative,brazen
sentiment,negative,brazenly
sentiment,negative,brazenness
sentiment,negative,breach
sentiment,negative,break
sentiment,negative,break-up
sentiment,negative,break-ups
sentiment,negative,breakdown
sentiment,negative,breaking
sentiment,negative,breaks
sentiment,negative,breakup
sentiment,negative,breakups
sentiment,negative,bribery
sentiment,negative,brimstone
sentiment,negative,bristle
sentiment,negative,brittle
sentiment,negative,broke
sentiment,negative,broken
sentiment,negative,broken-hearted
sentiment,negative,brood
sentiment,negative,browbeat
sentiment,negative,bruise
sentiment,negative,bruised
sentiment,negative,bruises
sentiment,negative,bruising
sentiment,negative,brusque
sentiment,negative,brutal
sentiment,negative,brutalising
sentiment,negative,brutalities
sentiment,negative,brutality
sentiment,negative,brutalize
sentiment,negative,brutalizing
sentiment,negative,brutally
sentiment,negative,brute
sentiment,negative,brutish
sentiment,negative,bs
sentiment,negative,buckle
sentiment,negative,bug
sentiment,negative,bugging
sentiment,negative,buggy
sentiment,negative,bugs
sentiment,negative,bulkier
sentiment,negative,bulkiness
sentiment,negative,bulky
sentiment,negative,bulkyness
sentiment,negative,bullish
sentiment,negative,bullies
sentiment,negative,bullshit
sentiment,negative,bullshyt
sentiment,negative,bully
sentiment,negative,bullying
sentiment,negative,bullyingly
sentiment,negative,bum
sentiment,negative,bump
sentiment,negative,bumped
sentiment,negative,bumping
sentiment,negative,bumpping
sentiment,negative,bumps
sentiment,negative,bumpy
sentiment,negative,bungle
sentiment,negative,bungler
sentiment,negative,bungling
sentiment,negative,bunk
sentiment,negative,burden
sentiment,negative,burdensome
sentiment,negative,burdensomely
sentiment,negative,burn
sentiment,negative,burned
sentiment,negative,burning
sentiment,negative,burns
sentiment,negative,bust
sentiment,negative,busts
sentiment,negative,busybody
sentiment,negative,butcher
sentiment,negative,butchery
sentiment,negative,buzzing
sentiment,negative,byzantine
sentiment,negative,cackle
sentiment,negative,calamities
sentiment,negative,calamitous
sentiment,negative,calamitously
sentiment,negative,calamity
