Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
Idris-dev/idris-lang/3824 0
yesod/yesodweb/413 0
Idris-dev/idris-lang/2786 0
Idris-dev/idris-lang/1057 0
yesod/yesodweb/981 0
Idris-dev/idris-lang/3823 0
Idris-dev/idris-lang/1063 0
Idris-dev/idris-lang/2785 0
stack/commercialhaskell/4279 0
yesod/yesodweb/412 0
wire-server/wireapp/91 0
Idris-dev/idris-lang/1062 0
Idris-dev/idris-lang/3822 0
yesod/yesodweb/411 0
stack/commercialhaskell/4278 0
Idris-dev/idris-lang/2783 0
wire-server/wireapp/90 0
wire-server/wireapp/94 0
wire-server/wireapp/99 0
yesod/yesodweb/406 0
Idris-dev/idris-lang/1947 0
Idris-dev/idris-lang/1943 0
Idris-dev/idris-lang/1050 0
Idris-dev/idris-lang/3818 0
wire-server/wireapp/70 0
stack/commercialhaskell/4271 0
Idris-dev/idris-lang/1049 0
Idris-dev/idris-lang/3817 0
Idris-dev/idris-lang/1942 0
Idris-dev/idris-lang/1048 0
stack/commercialhaskell/4270 0
Idris-dev/idris-lang/3816 0
stack/commercialhaskell/4269 0
Idris-dev/idris-lang/1941 0
yesod/yesodweb/403 0
Idris-dev/idris-lang/2772 0
wire-server/wireapp/68 0
Idris-dev/idris-lang/3815 0
yesod/yesodweb/971 0
Idris-dev/idris-lang/2771 0
yesod/yesodweb/402 0
stack/commercialhaskell/4268 0
wire-server/wireapp/65 0
yesod/yesodweb/401 0
yesod/yesodweb/970 0
Idris-dev/idris-lang/1045 0
yesod/yesodweb/404 0
stack/commercialhaskell/4272 0
yesod/yesodweb/972 0
Idris-dev/idris-lang/2773 0
yesod/yesodweb/976 0
Idris-dev/idris-lang/1056 0
wire-server/wireapp/75 0
Idris-dev/idris-lang/1946 0
Idris-dev/idris-lang/2777 0
yesod/yesodweb/405 0
yesod/yesodweb/975 0
wire-server/wireapp/74 0
Idris-dev/idris-lang/1055 0
Idris-dev/idris-lang/2776 0
Idris-dev/idris-lang/1945 0
stack/commercialhaskell/4274 0
wire-server/wireapp/76 0
Idris-dev/idris-lang/3820 0
wire-server/wireapp/73 0
yesod/yesodweb/974 0
Idris-dev/idris-lang/1053 0
Idris-dev/idris-lang/3819 0
wire-server/wireapp/72 0
yesod/yesodweb/973 0
Idris-dev/idris-lang/1052 0
Idris-dev/idris-lang/2774 0
stack/commercialhaskell/4273 0
Idris-dev/idris-lang/1944 0
Idris-dev/idris-lang/1051 0
wire-server/wireapp/71 0
Idris-dev/idris-lang/2775 0
Idris-dev/idris-lang/2788 0
Idris-dev/idris-lang/1953 0
Idris-dev/idris-lang/1066 0
wire-server/wireapp/141 0
yesod/yesodweb/992 0
Idris-dev/idris-lang/1079 0
Idris-dev/idris-lang/3837 0
wire-server/wireapp/139 0
Idris-dev/idris-lang/2795 0
yesod/yesodweb/420 0
Idris-dev/idris-lang/1078 0
stack/commercialhaskell/4290 0
Idris-dev/idris-lang/3836 0
wire-server/wireapp/138 0
Idris-dev/idris-lang/1968 0
Idris-dev/idris-lang/1077 0
yesod/yesodweb/419 0
Idris-dev/idris-lang/2794 0
yesod/yesodweb/991 0
Idris-dev/idris-lang/3835 0
Idris-dev/idris-lang/1967 0
stack/commercialhaskell/4289 0
Idris-dev/idris-lang/1076 0
wire-server/wireapp/130 0
yesod/yesodweb/990 0
yesod/yesodweb/418 0
Idris-dev/idris-lang/2793 0
stack/commercialhaskell/4288 0
Idris-dev/idris-lang/2796 0
Idris-dev/idris-lang/3838 0
